suite,seed,profile,startStage,endStage,arena,outcome,seconds,startHp,endHp,damage,healed,peakEnemies,peakShots,peakParticles,remainingHp,modCount,mods,death,error
bosses,path-run-67,balanced,15,15,sorter,clear,62.32,100,100,0,0,1,24,134,0,15,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock;wallrunner;burst;redline;backblast,,
bosses,path-run-67,balanced,19,19,interceptor,timeout,89.75,100,30,70,0,1,28,136,2280.8,19,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock;wallrunner;burst;redline;backblast;landing;shaped-charge;chain-reaction;grindshot,,
bosses,path-run-65,precision,3,3,loader,clear,13.75,100,76,24,0,1,11,57,0,3,magnum;rapid;deadeye,,
bosses,path-run-65,precision,7,7,press,clear,12.82,100,72,30,2,1,6,76,0,7,magnum;rapid;deadeye;airshot;light;leech;execute,,
bosses,path-run-65,precision,11,11,turbine,clear,26.92,100,36,66,2,1,9,65,0,11,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor,,
bosses,path-run-65,precision,15,15,boss,clear,26.13,100,10,92,2,1,12,81,0,15,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;kick,,
bosses,path-run-65,precision,19,19,interceptor,dead,20.68,100,0,100,0,1,9,69,4156.3,19,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;kick;redline;pierce;landing;grindshot,"{""type"":""contact"",""enemy"":""interceptor""}",
bosses,path-run-66,precision,3,3,loader,clear,13.73,100,76,24,0,1,11,58,0,3,magnum;rapid;deadeye,,
bosses,path-run-66,precision,7,7,press,clear,13.87,100,42,60,2,1,3,63,0,7,magnum;rapid;deadeye;airshot;light;leech;execute,,
bosses,path-run-66,precision,11,11,condenser,clear,30.25,100,81,21,2,1,17,79,0,11,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor,,
bosses,path-run-66,precision,15,15,sorter,dead,30.93,100,0,100,0,1,6,41,1304.8,15,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;ricochet,"{""type"":""shot"",""enemy"":""sorter""}",
bosses,path-run-66,precision,19,19,interceptor,clear,49.68,100,46,56,2,1,8,71,0,19,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;ricochet;arc-coil;countershot;pierce;breach,,
bosses,path-run-67,precision,3,3,crane,dead,15.98,100,0,100,0,1,3,54,410.9,3,magnum;rapid;deadeye,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,precision,7,7,kiln,clear,11.5,100,100,0,0,1,4,92,0,7,magnum;rapid;deadeye;airshot;light;leech;execute,,
bosses,path-run-67,precision,11,11,condenser,clear,19.52,100,100,0,0,1,20,59,0,11,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor,,
bosses,path-run-67,precision,15,15,sorter,dead,24.92,100,0,100,0,1,6,46,875.5,15,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;ricochet,"{""type"":""shot"",""enemy"":""sorter""}",
bosses,path-run-67,precision,19,19,interceptor,clear,40.9,100,34,68,2,1,8,68,0,19,magnum;rapid;deadeye;airshot;light;leech;execute;rivet;fracture;deadlock;capacitor;reserve-cell;rail-spike;backblast;ricochet;pierce;grindshot;landing;arc-coil,,
bosses,path-run-65,volley,3,3,loader,clear,32.92,100,100,0,0,1,20,81,0,3,magnum;rapid;scatter,,
bosses,path-run-65,volley,7,7,press,clear,14.65,100,12,90,2,1,39,199,0,7,magnum;rapid;scatter;crossfire;airshot;leech;burst,,
bosses,path-run-65,volley,11,11,turbine,clear,40.58,100,80,22,2,1,71,184,0,11,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce,,
bosses,path-run-65,volley,15,15,boss,clear,32.15,100,79,23,2,1,115,217,0,15,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;banker,,
bosses,path-run-65,volley,19,19,interceptor,clear,76.03,100,87,15,2,1,57,220,0,19,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;banker;countershot;backblast;backfire;mass-driver,,
bosses,path-run-66,volley,3,3,loader,clear,32.92,100,100,0,0,1,20,81,0,3,magnum;rapid;scatter,,
bosses,path-run-66,volley,7,7,press,clear,13.53,100,72,30,2,1,39,194,0,7,magnum;rapid;scatter;crossfire;airshot;leech;burst,,
bosses,path-run-66,volley,11,11,condenser,clear,37.7,100,18,84,2,1,66,203,0,11,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce,,
bosses,path-run-66,volley,15,15,sorter,clear,18,100,80,22,2,1,84,217,0,15,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;kick,,
bosses,path-run-66,volley,19,19,interceptor,clear,63.78,100,66,36,2,1,57,217,0,19,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;kick;mass-driver;grindshot;backblast;countershot,,
bosses,path-run-67,volley,3,3,crane,dead,16.58,100,0,100,0,1,12,88,418.7,3,magnum;rapid;scatter,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,volley,7,7,kiln,clear,18.37,100,100,0,0,1,43,168,0,7,magnum;rapid;scatter;crossfire;airshot;leech;burst,,
bosses,path-run-67,volley,11,11,condenser,clear,27.97,100,100,0,0,1,74,192,0,11,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce,,
bosses,path-run-67,volley,15,15,sorter,clear,17.57,100,100,0,0,1,79,217,0,15,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;kick,,
bosses,path-run-67,volley,19,19,interceptor,clear,33.28,100,100,0,0,1,100,218,0,19,magnum;rapid;scatter;crossfire;airshot;leech;burst;convergence;afterimage;parallax;pierce;ricochet;light;bloom;kick;backblast;wallrunner;breach;grindshot,,
bosses,path-run-65,demolition,3,3,loader,clear,12.78,100,100,0,0,1,11,61,0,3,magnum;airshot;leech,,
bosses,path-run-65,demolition,7,7,press,clear,12.38,100,42,60,2,1,3,93,0,7,magnum;airshot;leech;shellshock;rapid;aftershock;light,,
bosses,path-run-65,demolition,11,11,turbine,clear,23.82,100,80,22,2,1,13,151,0,11,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction,,
bosses,path-run-65,demolition,15,15,boss,clear,44.55,100,79,23,2,1,26,199,0,15,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;banker,,
bosses,path-run-65,demolition,19,19,interceptor,clear,40.23,100,85,17,2,1,22,192,0,19,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;banker;tether;kick;capacitor;wallrunner,,
bosses,path-run-66,demolition,3,3,loader,clear,10.98,100,100,0,0,1,8,65,0,3,magnum;airshot;leech,,
bosses,path-run-66,demolition,7,7,press,dead,14.48,100,0,100,0,1,6,127,40.9,7,magnum;airshot;leech;shellshock;rapid;aftershock;light,"{""type"":""slam"",""enemy"":""press""}",
bosses,path-run-66,demolition,11,11,condenser,clear,46.68,100,81,21,2,1,23,136,0,11,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction,,
bosses,path-run-66,demolition,15,15,sorter,clear,31.05,100,10,92,2,1,33,212,0,15,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;split,,
bosses,path-run-66,demolition,19,19,interceptor,timeout,89.85,100,52,48,0,1,52,214,2690.6,19,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;split;shaped-charge;grindshot;pierce;countershot,,
bosses,path-run-67,demolition,3,3,crane,dead,13.43,100,0,100,0,1,2,54,477.5,3,magnum;airshot;leech,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,demolition,7,7,kiln,clear,11.48,100,100,0,0,1,7,89,0,7,magnum;airshot;leech;shellshock;rapid;aftershock;light,,
bosses,path-run-67,demolition,11,11,condenser,clear,29.02,100,81,21,2,1,27,153,0,11,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction,,
bosses,path-run-67,demolition,15,15,sorter,dead,66.13,100,0,100,0,1,20,155,670.6,15,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;pierce,"{""type"":""shot"",""enemy"":""sorter""}",
bosses,path-run-67,demolition,19,19,interceptor,clear,65.9,100,78,24,2,1,78,219,0,19,magnum;airshot;leech;shellshock;rapid;aftershock;light;scatter;fuse;linked-fuse;chain-reaction;blast-surf;burst;shockfront;pierce;split;cluster-shell;shatter;tripwire,,
bosses,path-run-65,beam,3,3,loader,clear,16.83,100,100,0,0,1,10,51,0,3,magnum;rapid;cutting-torch,,
bosses,path-run-65,beam,7,7,press,clear,22.63,100,61,41,2,1,5,93,0,7,magnum;rapid;cutting-torch;light;leech;burst;scatter,,
bosses,path-run-65,beam,11,11,turbine,clear,72.57,100,14,88,2,1,6,66,0,11,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker,,
bosses,path-run-65,beam,15,15,boss,clear,60.63,100,79,23,2,1,12,69,0,15,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker;fold;arc-coil;deadeye;landing,,
bosses,path-run-65,beam,19,19,interceptor,clear,47.33,100,30,72,2,1,7,77,0,19,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker;fold;arc-coil;deadeye;landing;capacitor;kick;slingshot;short-circuit,,
bosses,path-run-66,beam,3,3,loader,clear,19.35,100,100,0,0,1,10,63,0,3,magnum;rapid;cutting-torch,,
bosses,path-run-66,beam,7,7,press,clear,22.57,100,12,90,2,1,5,85,0,7,magnum;rapid;cutting-torch;light;leech;burst;scatter,,
bosses,path-run-66,beam,11,11,condenser,dead,44.65,100,0,100,0,1,18,60,1158.8,11,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;arc-coil,"{""type"":""shot"",""enemy"":""condenser""}",
bosses,path-run-66,beam,15,15,sorter,clear,35.68,100,48,54,2,1,9,67,0,15,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;arc-coil;split;ricochet;fold;kick,,
bosses,path-run-66,beam,19,19,interceptor,clear,41.53,100,43,59,2,1,16,79,0,19,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;arc-coil;split;ricochet;fold;kick;short-circuit;tether;backblast;backfire,,
bosses,path-run-67,beam,3,3,crane,dead,18.42,100,0,100,0,1,3,36,589.8,3,magnum;rapid;cutting-torch,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,beam,7,7,kiln,clear,22.35,100,100,0,0,1,5,58,0,7,magnum;rapid;cutting-torch;light;leech;burst;scatter,,
bosses,path-run-67,beam,11,11,condenser,dead,35.17,100,0,100,0,1,20,46,2154.1,11,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker,"{""type"":""shot"",""enemy"":""condenser""}",
bosses,path-run-67,beam,15,15,sorter,clear,60.93,100,78,24,2,1,13,65,0,15,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker;corner-pocket;ricochet;deadeye;split,,
bosses,path-run-67,beam,19,19,interceptor,clear,54.7,100,66,36,2,1,14,67,0,19,magnum;rapid;cutting-torch;light;leech;burst;scatter;airshot;pulse-chamber;countershot;banker;corner-pocket;ricochet;deadeye;split;kick;air-brake;redline;arc-coil,,
bosses,path-run-65,cryogenic,3,3,loader,clear,18.97,100,82,18,0,1,12,66,0,3,magnum;rapid;coolant-rounds,,
bosses,path-run-65,cryogenic,7,7,press,dead,17.75,100,0,100,0,1,8,130,432.6,7,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce,"{""type"":""slam"",""enemy"":""press""}",
bosses,path-run-65,cryogenic,11,11,turbine,clear,34.52,100,100,0,0,1,12,75,0,11,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;ricochet;landing,,
bosses,path-run-65,cryogenic,15,15,boss,clear,49.58,100,100,0,0,1,14,63,0,15,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;ricochet;landing;recall;arc-coil;homecoming;backblast,,
bosses,path-run-65,cryogenic,19,19,interceptor,clear,65.07,100,53,49,2,1,12,76,0,19,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;ricochet;landing;recall;arc-coil;homecoming;backblast;capacitor;kick;breach;retrace,,
bosses,path-run-66,cryogenic,3,3,loader,clear,15.48,100,100,0,0,1,11,69,0,3,magnum;rapid;coolant-rounds,,
bosses,path-run-66,cryogenic,7,7,press,dead,17.28,100,0,100,0,1,9,72,509.3,7,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce,"{""type"":""slam"",""enemy"":""press""}",
bosses,path-run-66,cryogenic,11,11,condenser,clear,41.25,100,39,63,2,1,20,76,0,11,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;backblast;arc-coil,,
bosses,path-run-66,cryogenic,15,15,sorter,clear,27.23,100,100,0,0,1,36,137,0,15,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;backblast;arc-coil;split;scatter;shatter;kick,,
bosses,path-run-66,cryogenic,19,19,interceptor,clear,66.87,100,30,72,2,1,92,217,0,19,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;backblast;arc-coil;split;scatter;shatter;kick;short-circuit;grindshot;burst;capacitor,,
bosses,path-run-67,cryogenic,3,3,crane,dead,19.47,100,0,100,0,1,4,58,230.8,3,magnum;rapid;coolant-rounds,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,cryogenic,7,7,kiln,clear,25.27,100,100,0,0,1,7,63,0,7,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce,,
bosses,path-run-67,cryogenic,11,11,condenser,clear,76.57,100,39,63,2,1,26,90,0,11,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;grindshot;banker,,
bosses,path-run-67,cryogenic,15,15,sorter,clear,58.25,100,100,0,0,1,20,85,0,15,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;grindshot;banker;corner-pocket;ricochet;fold;split,,
bosses,path-run-67,cryogenic,19,19,interceptor,clear,60.73,100,43,59,2,1,17,94,0,19,magnum;rapid;coolant-rounds;deep-freeze;light;leech;pierce;airshot;icebreaker;grindshot;banker;corner-pocket;ricochet;fold;split;kick;wallrunner;redline;mass-driver,,
bosses,path-run-65,stasis,3,3,loader,clear,13.18,100,100,0,0,1,4,76,0,3,magnum;rapid;suspension,,
bosses,path-run-65,stasis,7,7,press,clear,19.93,100,42,60,2,1,20,101,0,7,magnum;rapid;suspension;scatter;light;leech;crosshatch,,
bosses,path-run-65,stasis,11,11,turbine,clear,22.2,100,100,0,0,1,41,131,0,11,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet,,
bosses,path-run-65,stasis,15,15,boss,clear,40.05,100,100,0,0,1,34,121,0,15,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;recall;arc-coil;homecoming;banker,,
bosses,path-run-65,stasis,19,19,interceptor,clear,66.73,100,28,74,2,1,39,217,0,19,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;recall;arc-coil;homecoming;banker;tether;burst;capacitor;wallrunner,,
bosses,path-run-66,stasis,3,3,loader,clear,13.42,100,100,0,0,1,4,66,0,3,magnum;rapid;suspension,,
bosses,path-run-66,stasis,7,7,press,clear,19.1,100,12,90,2,1,20,120,0,7,magnum;rapid;suspension;scatter;light;leech;crosshatch,,
bosses,path-run-66,stasis,11,11,condenser,clear,35.1,100,60,42,2,1,40,114,0,11,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet,,
bosses,path-run-66,stasis,15,15,sorter,clear,26.23,100,100,0,0,1,48,217,0,15,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;burst;split;recall;backblast,,
bosses,path-run-66,stasis,19,19,interceptor,clear,42.85,100,82,20,2,1,54,220,0,19,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;burst;split;recall;backblast;retrace;arc-coil;banker;countershot,,
bosses,path-run-67,stasis,3,3,crane,dead,17.93,100,0,100,0,1,5,46,644.8,3,magnum;rapid;suspension,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,stasis,7,7,kiln,clear,17.45,100,84,18,2,1,18,101,0,7,magnum;rapid;suspension;scatter;light;leech;crosshatch,,
bosses,path-run-67,stasis,11,11,condenser,clear,28.53,100,100,0,0,1,47,131,0,11,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet,,
bosses,path-run-67,stasis,15,15,sorter,clear,24.73,100,100,0,0,1,108,216,0,15,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;wallrunner;split;shatter;burst,,
bosses,path-run-67,stasis,19,19,interceptor,clear,48.68,100,76,26,2,1,180,216,0,19,magnum;rapid;suspension;scatter;light;leech;crosshatch;airshot;thread-the-needle;pierce;ricochet;wallrunner;split;shatter;burst;backblast;mass-driver;backfire;vector,,
branches,,grapnel,10,,room,clear,19.62,100,56,60,16,11,7,49,0,10,tether;grapnel;kick;light;airshot;redline;leech;pierce;magnum;rapid,,
branches,,grapnel,19,,boss,clear,38.08,100,78,24,2,1,156,216,0,19,tether;grapnel;kick;light;airshot;redline;leech;pierce;magnum;rapid;scatter;ricochet;split;burst;backblast;banker;landing;crossfire;bloom,,
branches,,convoy,10,,room,clear,22.68,100,62,54,16,11,22,188,0,10,suspension;crosshatch;convoy;scatter;rapid;light;kick;airshot;leech;pierce,,
branches,,convoy,19,,boss,clear,38.23,100,78,24,2,1,75,219,0,19,suspension;crosshatch;convoy;scatter;rapid;light;kick;airshot;leech;pierce;magnum;ricochet;split;burst;backblast;banker;landing;fold;rewire,,
branches,,thermal,10,,room,clear,15.32,100,100,0,0,9,11,89,0,10,coolant-rounds;cinder;thermal-shock;deep-freeze;pierce;rapid;light;airshot;leech;ricochet,,
branches,,thermal,19,,boss,clear,62.98,100,45,57,2,1,65,218,0,19,coolant-rounds;cinder;thermal-shock;deep-freeze;pierce;rapid;light;airshot;leech;ricochet;magnum;scatter;split;kick;burst;backblast;banker;landing;fold,,
branches,,pocket,10,,room,clear,15.17,100,100,0,0,7,9,77,0,10,ricochet;banker;corner-pocket;pierce;magnum;rapid;light;airshot;leech;kick,,
branches,,pocket,19,,boss,clear,27.1,100,100,0,0,1,138,216,0,19,ricochet;banker;corner-pocket;pierce;magnum;rapid;light;airshot;leech;kick;scatter;split;burst;backblast;landing;crossfire;bloom;fold;rewire,,
branches,,scrap,10,,room,clear,16.08,100,100,0,0,11,21,92,0,10,split;scrap-feed;shatter;magnum;rapid;light;airshot;leech;pierce;kick,,
branches,,scrap,19,,boss,clear,37.68,100,84,18,2,1,180,217,0,19,split;scrap-feed;shatter;magnum;rapid;light;airshot;leech;pierce;kick;scatter;ricochet;burst;backblast;banker;landing;crossfire;bloom;fold,,
branches,,icebreaker,10,,room,clear,14.93,100,100,0,0,11,12,83,0,10,coolant-rounds;deep-freeze;icebreaker;pierce;rapid;airshot;light;kick;leech;vector,,
branches,,icebreaker,19,,boss,clear,41.23,100,92,10,2,1,68,216,0,19,coolant-rounds;deep-freeze;icebreaker;pierce;rapid;airshot;light;kick;leech;vector;magnum;scatter;ricochet;split;burst;backblast;banker;landing;fold,,
branches,,coldfront,10,,room,clear,18.45,100,100,0,0,11,11,97,0,10,coolant-rounds;cold-snap;cold-front;pierce;rapid;airshot;light;kick;leech;banker,,
branches,,coldfront,19,,boss,clear,55.98,100,68,34,2,1,63,217,0,19,coolant-rounds;cold-snap;cold-front;pierce;rapid;airshot;light;kick;leech;banker;magnum;scatter;ricochet;split;burst;backblast;landing;fold;rewire,,
branches,,crosshatch,10,,room,clear,17.92,100,100,0,0,11,24,144,0,10,suspension;crosshatch;thread-the-needle;scatter;rapid;light;kick;airshot;leech;pierce,,
branches,,crosshatch,19,,boss,clear,40.02,100,84,18,2,1,73,220,0,19,suspension;crosshatch;thread-the-needle;scatter;rapid;light;kick;airshot;leech;pierce;magnum;ricochet;split;burst;backblast;banker;landing;fold;rewire,,
branches,,tripline,10,,room,clear,14.08,100,84,24,8,9,34,124,0,10,suspension;tripline;chain-release;scatter;backblast;backfire;light;airshot;rapid;leech,,
branches,,tripline,19,,boss,clear,34.48,100,66,36,2,1,106,219,0,19,suspension;tripline;chain-release;scatter;backblast;backfire;light;airshot;rapid;leech;magnum;ricochet;pierce;split;kick;burst;banker;landing;fold,,
branches,,retrace,10,,room,clear,17.28,100,100,0,0,8,7,70,0,10,recall;retrace;homecoming;ricochet;pierce;banker;fold;slingshot;light;airshot,,
branches,,retrace,19,,boss,clear,56.4,100,75,27,2,1,49,218,0,19,recall;retrace;homecoming;ricochet;pierce;banker;fold;slingshot;light;airshot;magnum;scatter;rapid;split;kick;leech;burst;backblast;landing,,
branches,,wallrunner,10,,room,clear,16.23,100,100,0,0,11,8,100,0,10,light;wallrunner;kick;redline;airshot;leech;rapid;magnum;backblast;pierce,,
branches,,wallrunner,19,,boss,clear,39.02,100,60,42,2,1,149,217,0,19,light;wallrunner;kick;redline;airshot;leech;rapid;magnum;backblast;pierce;scatter;ricochet;split;burst;banker;landing;crossfire;bloom;fold,,
