suite,seed,policy,entrance,visit,stage,layout,event,escape,clear,seconds,startHp,endHp,damage,healed,peakEnemies,mods
campaign,path-run-65,precision,0,3,3,loader-bay,,,true,21.83,100,100,0,0,1,rapid;mass-driver;ricochet
campaign,path-run-65,precision,0,4,4,pillars,,,true,27.82,100,100,0,0,5,rapid;mass-driver;ricochet;ramjet
campaign,path-run-65,precision,0,5,5,fortress,,,true,75.57,100,48,64,12,6,rapid;mass-driver;ricochet;ramjet;recall
campaign,path-run-65,precision,0,6,6,furnace-low-road,,,true,72.33,48,20,40,12,9,rapid;mass-driver;ricochet;ramjet;recall;grindshot
campaign,path-run-65,precision,0,7,7,press-hall,,,false,180.02,20,20,0,0,1,rapid;mass-driver;ricochet;ramjet;recall;grindshot;leech
campaign,path-run-66,utility,0,0,0,staggered,,,true,9.52,100,100,0,0,2,
campaign,path-run-66,utility,0,1,1,freight-crossing,,,true,7.7,100,100,0,0,3,arc-coil
campaign,path-run-66,utility,0,2,2,docks-low-road,,,true,16.62,100,100,11,11,5,arc-coil;pierce
campaign,path-run-66,utility,0,3,3,loader-bay,,,true,22.87,100,66,46,12,1,arc-coil;pierce;countershot
campaign,path-run-66,utility,0,4,4,fortress,turf,,true,46.15,66,78,0,12,14,arc-coil;pierce;countershot;split
campaign,path-run-66,utility,0,5,5,freight-shaft,,,true,47.98,78,90,0,12,3,arc-coil;pierce;countershot;split;fold
campaign,path-run-66,utility,0,6,6,furnace-low-road,turf,,true,18.07,90,93,9,12,14,arc-coil;pierce;countershot;split;fold;scatter
campaign,path-run-66,utility,0,7,7,press-hall,,,true,65.35,93,51,54,12,1,arc-coil;pierce;countershot;split;fold;scatter;crossfire
campaign,path-run-66,utility,0,8,8,settling-tanks,,,false,16.63,51,0,51,0,7,arc-coil;pierce;countershot;split;fold;scatter;crossfire;landing
campaign,path-run-66,ordinary,0,0,0,staggered,,,true,9.52,100,100,0,0,2,
campaign,path-run-66,ordinary,0,1,1,freight-crossing,,,true,7.7,100,100,0,0,3,arc-coil
campaign,path-run-66,ordinary,0,2,2,docks-low-road,,,true,16.62,100,100,11,11,5,arc-coil;pierce
campaign,path-run-66,ordinary,0,3,3,loader-bay,,,true,22.87,100,66,46,12,1,arc-coil;pierce;countershot
campaign,path-run-66,ordinary,0,4,4,fortress,turf,,true,26.4,66,22,56,12,14,arc-coil;pierce;countershot;ramjet
campaign,path-run-66,ordinary,0,5,5,freight-shaft,,,true,50.72,22,19,15,12,3,arc-coil;pierce;countershot;ramjet;deadeye
campaign,path-run-66,ordinary,0,6,6,furnace-low-road,turf,,false,8.27,19,0,19,0,14,arc-coil;pierce;countershot;ramjet;deadeye;scatter
campaign,path-run-66,precision,0,0,0,staggered,,,true,9.52,100,100,0,0,2,
campaign,path-run-66,precision,0,1,1,freight-crossing,,,true,15.38,100,100,0,0,3,rapid
campaign,path-run-66,precision,0,2,2,docks-low-road,,,true,16.25,100,100,0,0,5,rapid;split
campaign,path-run-66,precision,0,3,3,loader-bay,,,true,19.97,100,100,0,0,1,rapid;split;countershot
campaign,path-run-66,precision,0,4,4,fortress,turf,,true,31.6,100,100,0,0,14,rapid;split;countershot;airshot
campaign,path-run-66,precision,0,5,5,freight-shaft,,,true,47.27,100,100,0,0,3,rapid;split;countershot;airshot;shellshock
campaign,path-run-66,precision,0,6,6,furnace-low-road,turf,,true,13.82,100,100,6,6,14,rapid;split;countershot;airshot;shellshock;scatter
campaign,path-run-66,precision,0,7,7,press-hall,,,true,48.88,100,100,0,0,1,rapid;split;countershot;airshot;shellshock;scatter;fold
campaign,path-run-66,precision,0,8,8,settling-tanks,,,true,16.33,100,100,0,0,6,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder
campaign,path-run-66,precision,0,9,9,dropworks,,,true,24.78,100,97,15,12,7,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor
campaign,path-run-66,precision,0,10,10,cooling-low-road,,,true,32.37,97,65,44,12,10,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor;burst
campaign,path-run-66,precision,0,11,11,condenser-hall,,,true,71.57,65,37,42,14,1,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor;burst;leech
campaign,path-run-66,precision,0,12,12,sorting-floor,,,true,16,37,30,35,28,7,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor;burst;leech;crosswind
campaign,path-run-66,precision,0,13,13,gantry-walk,,,true,17.48,30,43,15,28,7,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor;burst;leech;crosswind;mass-driver
campaign,path-run-66,precision,0,14,14,reclamation-low-road,,,false,21.65,43,0,61,18,7,rapid;split;countershot;airshot;shellshock;scatter;fold;cinder;capacitor;burst;leech;crosswind;mass-driver;shaped-charge
campaign,path-run-67,utility,0,0,0,staggered,,,true,12.78,100,100,0,0,2,
campaign,path-run-67,utility,0,1,1,overpass,,,true,32,100,100,0,0,3,leech
campaign,path-run-67,utility,0,2,2,docks-low-road,,,true,10.98,100,100,0,0,5,leech;pierce
campaign,path-run-67,utility,0,3,3,crane-bay,,,true,37.3,100,90,24,14,1,leech;pierce;capacitor
campaign,path-run-67,utility,0,4,4,chimney,turf,,true,20.5,90,88,16,14,14,leech;pierce;capacitor;ricochet
campaign,path-run-67,utility,0,5,5,freight-shaft,,,true,52.22,88,99,15,26,3,leech;pierce;capacitor;ricochet;light
campaign,path-run-67,utility,0,6,6,furnace-low-road,turf,,true,11.15,99,100,16,17,14,leech;pierce;capacitor;ricochet;light;grindshot
campaign,path-run-67,utility,0,7,7,kiln-hall,,,false,33.6,100,0,100,0,1,leech;pierce;capacitor;ricochet;light;grindshot;countershot
campaign,path-run-67,ordinary,0,0,0,staggered,,,true,12.78,100,100,0,0,2,
campaign,path-run-67,ordinary,0,1,1,overpass,,,true,17.3,100,100,0,0,3,cutting-torch
campaign,path-run-67,ordinary,0,2,2,docks-low-road,,,true,26.88,100,74,38,12,5,cutting-torch;capacitor
campaign,path-run-67,ordinary,0,3,3,crane-bay,,,true,96.97,74,86,0,12,1,cutting-torch;capacitor;pierce
campaign,path-run-67,ordinary,0,4,4,chimney,turf,,true,18.02,86,98,0,12,14,cutting-torch;capacitor;pierce;ramjet
campaign,path-run-67,ordinary,0,5,5,freight-shaft,,,true,50.98,98,79,31,12,3,cutting-torch;capacitor;pierce;ramjet;airshot
campaign,path-run-67,ordinary,0,6,6,furnace-low-road,turf,,true,23.53,79,91,0,12,14,cutting-torch;capacitor;pierce;ramjet;airshot;reserve-cell
campaign,path-run-67,ordinary,0,7,7,kiln-hall,,,true,41.42,91,23,80,12,1,cutting-torch;capacitor;pierce;ramjet;airshot;reserve-cell;burst
campaign,path-run-67,ordinary,0,8,8,return-channel,,,true,16.48,23,15,20,12,7,cutting-torch;capacitor;pierce;ramjet;airshot;reserve-cell;burst;cinder
campaign,path-run-67,ordinary,0,9,9,dispatch-lane,,,false,10.35,15,0,15,0,8,cutting-torch;capacitor;pierce;ramjet;airshot;reserve-cell;burst;cinder;countershot
campaign,path-run-67,precision,0,0,0,staggered,,,true,12.78,100,100,0,0,2,
campaign,path-run-67,precision,0,1,1,overpass,,,true,19.65,100,100,0,0,3,magnum
campaign,path-run-67,precision,0,2,2,docks-low-road,,,true,15.72,100,88,24,12,5,magnum;rapid
campaign,path-run-67,precision,0,3,3,crane-bay,,,true,27.43,88,100,0,12,1,magnum;rapid;leech
campaign,path-run-67,precision,0,4,4,chimney,turf,,true,22.95,100,100,0,0,14,magnum;rapid;leech;ramjet
campaign,path-run-67,precision,0,5,5,freight-shaft,,,true,46.93,100,100,16,16,3,magnum;rapid;leech;ramjet;light
campaign,path-run-67,precision,0,6,6,furnace-low-road,turf,,true,12.68,100,100,0,0,14,magnum;rapid;leech;ramjet;light;grindshot
campaign,path-run-67,precision,0,7,7,kiln-hall,,,true,35.72,100,96,18,14,1,magnum;rapid;leech;ramjet;light;grindshot;crossfire
campaign,path-run-67,precision,0,8,8,return-channel,,,true,13.05,96,100,0,4,7,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot
campaign,path-run-67,precision,0,9,9,dispatch-lane,,,true,29.5,100,100,18,18,8,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor
campaign,path-run-67,precision,0,10,10,cooling-low-road,,,true,25.58,100,100,0,0,9,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut
campaign,path-run-67,precision,0,11,11,condenser-hall,,,true,72.53,100,72,42,14,1,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast
campaign,path-run-67,precision,0,12,12,sorting-floor,,,true,18.9,72,80,20,28,7,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind
campaign,path-run-67,precision,0,13,13,gantry-walk,,,true,16.6,80,93,15,28,7,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil
campaign,path-run-67,precision,0,14,14,reclamation-low-road,,,true,28.53,93,94,35,36,9,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker
campaign,path-run-67,precision,0,15,15,separation-chamber,,,true,84.23,94,100,0,6,1,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick
campaign,path-run-67,precision,0,16,16,split-deck,,,true,26.02,100,100,0,0,6,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel
campaign,path-run-67,precision,0,17,17,suspension-hall,,,true,18.1,100,100,15,15,7,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel;mass-driver
campaign,path-run-67,precision,0,18,18,rooftops-low-road,,,true,21.43,100,100,0,0,9,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel;mass-driver;reserve-cell
campaign,path-run-67,precision,0,19,19,relay-roof,,,true,81.02,100,72,30,2,1,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel;mass-driver;reserve-cell;fold
campaign,path-run-67,precision,0,20,19,last-flight,,route,true,15.35,72,72,0,0,0,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel;mass-driver;reserve-cell;fold
campaign,path-run-67,precision,0,21,19,last-flight,,extracting,true,2.62,72,72,0,0,0,magnum;rapid;leech;ramjet;light;grindshot;crossfire;airshot;capacitor;crosscut;backblast;crosswind;arc-coil;banker;kick;pinwheel;mass-driver;reserve-cell;fold
campaign,RF-D78-2026-09-19,daily,0,0,0,overpass,,,true,17.27,100,100,0,0,2,
campaign,RF-D78-2026-09-19,daily,0,1,1,staggered,,,true,27.27,100,100,0,0,3,recall
campaign,RF-D78-2026-09-19,daily,0,2,2,docks-low-road,,,true,19.15,100,88,24,12,5,recall;airshot
campaign,RF-D78-2026-09-19,daily,0,3,3,crane-bay,,,false,180,88,64,24,0,1,recall;airshot;scatter
campaign,RF-D78-2026-09-20,daily,0,0,0,overpass,,,true,17.67,100,100,0,0,2,
campaign,RF-D78-2026-09-20,daily,0,1,1,story-dispatch,,,true,12.27,100,98,14,12,5,banker
campaign,RF-D78-2026-09-20,daily,0,2,2,docks-low-road,,,true,11.22,98,96,14,12,4,banker;mass-driver
campaign,RF-D78-2026-09-20,daily,0,3,3,loader-bay,,,true,22.57,96,44,64,12,1,banker;mass-driver;backblast
campaign,RF-D78-2026-09-20,daily,0,4,4,pillars,,,true,28.85,44,40,16,12,5,banker;mass-driver;backblast;ramjet
campaign,RF-D78-2026-09-20,daily,0,5,5,freight-shaft,,,true,56.25,40,52,0,12,3,banker;mass-driver;backblast;ramjet;airshot
campaign,RF-D78-2026-09-20,daily,0,6,6,furnace-high-road,,,true,19.5,52,50,32,30,7,banker;mass-driver;backblast;ramjet;airshot;leech
campaign,RF-D78-2026-09-20,daily,0,7,7,press-hall,,,true,40.48,50,64,0,14,1,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball
campaign,RF-D78-2026-09-20,daily,0,8,8,settling-tanks,blackout,,true,25.83,64,80,18,34,5,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder
campaign,RF-D78-2026-09-20,daily,0,9,9,balance-house,,,true,9.92,80,100,0,20,6,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter
campaign,RF-D78-2026-09-20,daily,0,10,10,cooling-high-road,,,true,16.75,100,100,18,18,9,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire
campaign,RF-D78-2026-09-20,daily,0,11,11,condenser-hall,,,true,55.95,100,99,21,20,1,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum
campaign,RF-D78-2026-09-20,daily,0,12,12,sorting-floor,,,true,17.98,99,100,0,1,7,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind
campaign,RF-D78-2026-09-20,daily,0,13,13,gantry-walk,,,true,15.6,100,100,15,15,7,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate
campaign,RF-D78-2026-09-20,daily,0,14,14,reclamation-low-road,,,true,31.07,100,100,28,28,9,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall
campaign,RF-D78-2026-09-20,daily,0,15,15,separation-chamber,,,true,108.13,100,100,18,18,1,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor
campaign,RF-D78-2026-09-20,daily,0,16,16,gantry,,,true,27.62,100,100,10,10,6,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet
campaign,RF-D78-2026-09-20,daily,0,17,17,dispatch-lane,,,true,30.37,100,81,57,38,11,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet;landing
campaign,RF-D78-2026-09-20,daily,0,18,18,rooftops-low-road,,,true,32.8,81,68,55,42,11,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet;landing;pierce
campaign,RF-D78-2026-09-20,daily,0,19,19,relay-roof,,,true,123.48,68,70,0,2,1,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet;landing;pierce;homecoming
campaign,RF-D78-2026-09-20,daily,0,20,19,last-flight,,route,true,18.62,70,70,0,0,0,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet;landing;pierce;homecoming
campaign,RF-D78-2026-09-20,daily,0,21,19,last-flight,,extracting,true,2.62,70,70,0,0,0,banker;mass-driver;backblast;ramjet;airshot;leech;wrecking-ball;cinder;scatter;tripwire;magnum;crosswind;skid-plate;recall;capacitor;ricochet;landing;pierce;homecoming
campaign,RF-D78-2026-09-21,daily,0,0,0,overpass,,,true,9.98,100,100,0,0,2,
campaign,RF-D78-2026-09-21,daily,0,1,1,terraces,,,true,15.22,100,100,0,0,3,grindshot
campaign,RF-D78-2026-09-21,daily,0,2,2,docks-low-road,,,true,11.52,100,98,14,12,5,grindshot;corner-cutter
campaign,RF-D78-2026-09-21,daily,0,3,3,loader-bay,,,false,4.3,98,0,98,0,1,grindshot;corner-cutter;kick
areas,path-run-65,utility,4,0,4,pillars,,,true,24.17,100,100,0,0,5,light;fold;countershot;ricochet
areas,path-run-65,utility,4,1,5,fortress,,,true,17.62,100,100,0,0,6,light;fold;countershot;ricochet;vector
areas,path-run-65,utility,4,2,6,furnace-low-road,,,true,21.2,100,100,0,0,7,light;fold;countershot;ricochet;vector;grindshot
areas,path-run-65,utility,4,3,7,press-hall,,,true,66.33,100,100,0,0,1,light;fold;countershot;ricochet;vector;grindshot;rapid
areas,path-run-65,utility,4,4,8,return-channel,,,true,15.87,100,94,18,12,7,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder
areas,path-run-65,utility,4,5,9,pump-room,,,true,23.5,94,100,0,6,8,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint
areas,path-run-65,utility,4,6,10,cooling-low-road,,,true,21.47,100,100,0,0,10,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver
areas,path-run-65,utility,4,7,11,turbine-gallery,,,true,78.92,100,100,0,0,1,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil
areas,path-run-65,utility,4,8,12,sorting-floor,,,true,17.87,100,100,0,0,7,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor
areas,path-run-65,utility,4,9,13,freight-crossing,,,true,18.78,100,100,0,0,7,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce
areas,path-run-65,utility,4,10,14,reclamation-low-road,,,true,25.7,100,92,20,12,8,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing
areas,path-run-65,utility,4,11,15,last-crossing,,,true,83.45,92,81,23,12,1,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire
areas,path-run-65,utility,4,12,16,split-deck,,,true,17.88,81,73,20,12,5,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum
areas,path-run-65,utility,4,13,17,suspension-hall,,,true,18.48,73,85,0,12,6,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum;split
areas,path-run-65,utility,4,14,18,rooftops-low-road,,,true,22.47,85,39,58,12,10,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum;split;drop-forge
areas,path-run-65,utility,4,15,19,relay-roof,,,true,66.8,39,25,14,0,1,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum;split;drop-forge;tether
areas,path-run-65,utility,4,16,19,last-flight,,route,true,15.35,25,25,0,0,0,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum;split;drop-forge;tether
areas,path-run-65,utility,4,17,19,last-flight,,extracting,true,2.62,25,25,0,0,0,light;fold;countershot;ricochet;vector;grindshot;rapid;cinder;flashpoint;mass-driver;arc-coil;capacitor;pierce;landing;tripwire;magnum;split;drop-forge;tether
areas,path-run-65,utility,8,0,8,return-channel,,,true,22.02,100,100,18,18,7,light;fold;countershot;ricochet;pierce;split;leech;landing
areas,path-run-65,utility,8,1,9,pump-room,,,true,26.42,100,100,0,0,8,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot
areas,path-run-65,utility,8,2,10,cooling-low-road,,,true,53.67,100,100,0,0,9,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate
areas,path-run-65,utility,8,3,11,turbine-gallery,,,true,71.57,100,100,0,0,1,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil
areas,path-run-65,utility,8,4,12,sorting-floor,,,true,24.47,100,100,0,0,7,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind
areas,path-run-65,utility,8,5,13,freight-crossing,,,true,40.8,100,66,48,14,7,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid
areas,path-run-65,utility,8,6,14,reclamation-low-road,,,true,23.2,66,62,40,36,9,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut
areas,path-run-65,utility,8,7,15,last-crossing,,,true,83.3,62,76,0,14,1,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire
areas,path-run-65,utility,8,8,16,split-deck,,,true,26.47,76,100,0,24,4,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder
areas,path-run-65,utility,8,9,17,suspension-hall,,,true,20,100,99,19,18,7,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder;daisy-chain
areas,path-run-65,utility,8,10,18,rooftops-low-road,,,true,19.28,99,100,20,21,9,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder;daisy-chain;slipstream
areas,path-run-65,utility,8,11,19,relay-roof,,,true,91.77,100,73,29,2,1,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder;daisy-chain;slipstream;capacitor
areas,path-run-65,utility,8,12,19,last-flight,,route,true,15.35,73,73,0,0,0,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder;daisy-chain;slipstream;capacitor
areas,path-run-65,utility,8,13,19,last-flight,,extracting,true,2.62,73,73,0,0,0,light;fold;countershot;ricochet;pierce;split;leech;landing;grindshot;relay-gate;arc-coil;crosswind;rapid;crosscut;tripwire;cinder;daisy-chain;slipstream;capacitor
areas,path-run-65,utility,12,0,12,sorting-floor,,,true,15.98,100,100,0,0,7,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell
areas,path-run-65,utility,12,1,13,freight-crossing,,,true,37.22,100,67,59,26,7,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid
areas,path-run-65,utility,12,2,14,reclamation-low-road,,,true,27.98,67,83,20,36,9,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds
areas,path-run-65,utility,12,3,15,last-crossing,,,true,59.4,83,97,0,14,1,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver
areas,path-run-65,utility,12,4,16,split-deck,,,true,29.02,97,98,20,21,5,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver;cinder
areas,path-run-65,utility,12,5,17,suspension-hall,,,true,26.72,98,100,0,2,8,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver;cinder;afterburner
areas,path-run-65,utility,12,6,18,rooftops-low-road,,,true,20.13,100,100,0,0,10,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver;cinder;afterburner;relay-gate
areas,path-run-65,utility,12,7,19,relay-roof,,,true,67.18,100,82,20,2,1,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver;cinder;afterburner;relay-gate;backblast
areas,path-run-65,utility,12,8,19,last-flight,,route,true,15.35,82,82,0,0,0,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;rapid;coolant-rounds;mass-driver;cinder;afterburner;relay-gate;backblast
