"combo","path","weapon","branches","fusion","upgrade_count","upgrades_in_acquisition_order","upgrade_ids_in_acquisition_order","room_test","boss_test","mirrored_room_test"
"bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.wrecking-ball.crosscut.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Drop Forge + Relay Gate + Short Circuit + Wrecking Ball + Crosscut + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Drop Forge > Fold > Relay Gate > Arc Coil > Short Circuit > Ramjet > Wrecking Ball > Grindshot > Crosscut > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > drop-forge > fold > relay-gate > arc-coil > short-circuit > ramjet > wrecking-ball > grindshot > crosscut > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.wrecking-ball.crosscut.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.wrecking-ball.crosscut.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.wrecking-ball.crosscut.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Drop Forge + Relay Gate + Short Circuit + Triphammer + Corner Cutter + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Drop Forge > Fold > Relay Gate > Arc Coil > Short Circuit > Ramjet > Triphammer > Grindshot > Corner Cutter > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > drop-forge > fold > relay-gate > arc-coil > short-circuit > ramjet > triphammer > grindshot > corner-cutter > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.snapback&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Drop Forge + Relay Gate + Short Circuit + Triphammer + Corner Cutter + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Drop Forge > Fold > Relay Gate > Arc Coil > Short Circuit > Ramjet > Triphammer > Grindshot > Corner Cutter > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > drop-forge > fold > relay-gate > arc-coil > short-circuit > ramjet > triphammer > grindshot > corner-cutter > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.corner-cutter.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Drop Forge + Relay Gate + Short Circuit + Triphammer + Crosscut + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Drop Forge > Fold > Relay Gate > Arc Coil > Short Circuit > Ramjet > Triphammer > Grindshot > Crosscut > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > drop-forge > fold > relay-gate > arc-coil > short-circuit > ramjet > triphammer > grindshot > crosscut > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.snapback&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Drop Forge + Relay Gate + Short Circuit + Triphammer + Crosscut + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Drop Forge > Fold > Relay Gate > Arc Coil > Short Circuit > Ramjet > Triphammer > Grindshot > Crosscut > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > drop-forge > fold > relay-gate > arc-coil > short-circuit > ramjet > triphammer > grindshot > crosscut > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.drop-forge.relay-gate.short-circuit.triphammer.crosscut.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Corner Cutter + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Corner Cutter > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > corner-cutter > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.snapback&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Corner Cutter + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Corner Cutter > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > corner-cutter > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.corner-cutter.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Crosscut + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Crosscut > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > crosscut > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback.flywheel","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Crosscut + Snapback","Flywheel","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Crosscut > Tether rounds > Snapback > Flywheel > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Recall > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > crosscut > tether > snapback > flywheel > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > recall > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback.flywheel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback.flywheel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.snapback.flywheel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Crosscut + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Crosscut > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > crosscut > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel.flywheel","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Wrecking Ball + Crosscut + Grapnel","Flywheel","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Wrecking Ball > Grindshot > Crosscut > Tether rounds > Grapnel > Flywheel > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Recall > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > wrecking-ball > grindshot > crosscut > tether > grapnel > flywheel > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > recall > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel.flywheel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel.flywheel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.wrecking-ball.crosscut.grapnel.flywheel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Triphammer + Corner Cutter + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Triphammer > Grindshot > Corner Cutter > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > triphammer > grindshot > corner-cutter > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.snapback&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.grapnel","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Triphammer + Corner Cutter + Grapnel","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Triphammer > Grindshot > Corner Cutter > Tether rounds > Grapnel > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > triphammer > grindshot > corner-cutter > tether > grapnel > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.grapnel&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.grapnel&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.corner-cutter.grapnel&mirror=1&v=2.75.0"
"bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.crosscut.snapback","Bullet hell","Mass Driver","Convergence + Parallax + Skid Plate + Rewire + Daisy Chain + Triphammer + Crosscut + Snapback","Orbit","54","Crossfire > Mass Driver > Convergence > Afterimage > Parallax > Skid Plate > Fold > Rewire > Arc Coil > Daisy Chain > Ramjet > Triphammer > Grindshot > Crosscut > Tether rounds > Snapback > Recall > Orbit > Heavy hitter > Scattershot > Hair trigger > Bank shot > Punch through > Splinter > Airshot > Kickback > Bloodwork > Light frame > Burst fire > Backblast > Banker > Landing shot > Death bloom > Slingshot > Redline > Breach > Shatter > Backfire > Homecoming > Capacitor > Reserve cell > Countershot > Reprisal > Cinder rounds > Crosswind > Flashpoint > Slipstream > Vector rounds > Afterburner > Retrace > Wallrunner > Air Brake > Corner Pocket > Scrap Feed","crossfire > mass-driver > convergence > afterimage > parallax > skid-plate > fold > rewire > arc-coil > daisy-chain > ramjet > triphammer > grindshot > crosscut > tether > snapback > recall > orbit > magnum > scatter > rapid > ricochet > pierce > split > airshot > kick > leech > light > burst > backblast > banker > landing > bloom > slingshot > redline > breach > shatter > backfire > homecoming > capacitor > reserve-cell > countershot > reprisal > cinder > crosswind > flashpoint > slipstream > vector > afterburner > retrace > wallrunner > air-brake > corner-pocket > scrap-feed","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.crosscut.snapback&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.crosscut.snapback&room=boss&v=2.75.0","https://caleb-guyer.github.io/recoil-foundry/?test=branches&combo=bullet-hell.mass-driver.convergence.parallax.skid-plate.rewire.daisy-chain.triphammer.crosscut.snapback&mirror=1&v=2.75.0"
